wave flux error band
6710.93 1.3453067019361837e-14 3.540032312257568e-17 GAIA3E
5437.48 2.3683962822622486e-14 8.047087171797673e-17 GAIA3E
7979.59 6.005858935828257e-15 2.2242565620573774e-17 GAIA3E
6710.93 1.3203512385765392e-14 1.0944795886065232e-17 GAIA2
5437.48 2.492478737916591e-14 1.9283525138745355e-16 GAIA2
7979.59 6.271651553069437e-15 2.1372696834334955e-17 GAIA2
33791.9 2.3849768026927435e-17 6.809598809650272e-19 WISE
46293.0 6.72538763763782e-18 3.2210417488162544e-19 WISE
12412.1 1.236025511301849e-15 2.5045274332868608e-17 2MASS
16497.1 4.2260035038174166e-16 9.730732815829807e-18 2MASS
21909.2 1.4511521097379037e-16 4.945273862745218e-18 2MASS
