wave flux error band
33791.9 1.0901453035444214e-16 2.5101523625430384e-18 WISE
46293.0 3.045910072727172e-17 7.294005963677154e-19 WISE
6710.93 5.72724426121513e-14 1.479106327860251e-16 GAIA3E
5437.48 1.0170660805031428e-13 2.751242028539681e-16 GAIA3E
7979.59 2.4753871228468885e-14 8.663680022454133e-17 GAIA3E
6710.93 5.658345696969021e-14 4.1692231849113195e-17 GAIA2
5437.48 1.0587452191508472e-13 5.265758071214183e-16 GAIA2
7979.59 2.557536976301723e-14 4.004483631161121e-17 GAIA2
12412.1 4.6949133148521436e-15 1.254010703670898e-16 2MASS
16497.1 1.6731298416267226e-15 4.6230284950350746e-17 2MASS
21909.2 5.718902392353388e-16 1.0534607282069891e-17 2MASS
